"Sample","Mean","Median","SD"
"GSM1116084",8.65889777089274,8.48219083870968,1.90262931791205
"GSM1116085",8.65889776511324,8.48219083870968,1.90262927981301
"GSM1116086",8.6588977636878,8.48219083870968,1.90262928034117
"GSM1116087",8.65889775603796,8.48219083870968,1.90262927047693
"GSM1116088",8.65889774415932,8.48219083870968,1.90262926023236
"GSM1116089",8.6588977445308,8.48219083870968,1.90262922565298
"GSM1116090",8.65889773079045,8.48219083870968,1.90262925685218
"GSM1116091",8.65889774766676,8.48219083870968,1.90262926114332
"GSM1116092",8.65889775668589,8.48219083870968,1.90262926454681
"GSM1116093",8.65889776916494,8.48219083870968,1.90262927988158
"GSM1116094",8.65889776536809,8.48219083870968,1.90262928098496
"GSM1116095",8.65889775696665,8.48219083870968,1.90262925132303
"GSM1116096",8.65889775272922,8.48219083870968,1.90262925895344
"GSM1116097",8.65889775805085,8.48219083870968,1.90262925636467
"GSM1116098",8.65889775208561,8.48219083870968,1.90262926731683
"GSM1116099",8.65889776231852,8.48219083870968,1.90262927466529
"GSM1116100",8.65889773703214,8.48219083870968,1.90262925789586
"GSM1116101",8.6588977434682,8.48219083870968,1.90262926620608
"GSM1116102",8.65889775342898,8.48219083870968,1.90262926534906
"GSM1116103",8.65889774786114,8.48219083870968,1.90262926422187
"GSM1116104",8.65889776278071,8.48219083870968,1.90262927774523
"GSM1116105",8.65889776488431,8.48227462903226,1.90262926467281
"GSM1116106",8.65889774880711,8.48219083870968,1.90262925661515
"GSM1116107",8.65889777536343,8.48219083870968,1.90262931082707
"GSM1116108",8.65889772496344,8.48219083870968,1.90262922133529
"GSM1116109",8.65889777089706,8.48219083870968,1.90262928509573
"GSM1116110",8.65889777802856,8.48219083870968,1.90262929042661
"GSM1116111",8.65889773821136,8.48219083870968,1.9026292433494
"GSM1116112",8.65889776519099,8.48219083870968,1.90262928534696
"GSM1116113",8.65889774928225,8.48219083870968,1.90262926129365
"GSM1116114",8.65889777062061,8.48219083870968,1.90262928128908
"GSM1116115",8.65889774907924,8.48219083870968,1.90262926436335
"GSM1116116",8.65889776226669,8.48219083870968,1.9026292720179
"GSM1116117",8.658897763001,8.48219083870968,1.90262927318266
"GSM1116118",8.65889775039669,8.48219083870968,1.90262926484014
"GSM1116119",8.65889775920848,8.48219083870968,1.90262927673447
"GSM1116120",8.6588977591696,8.48219083870968,1.90262924868607
"GSM1116121",8.65889776558839,8.48219083870968,1.90262927283299
"GSM1116122",8.65889773896728,8.48219083870968,1.90262925022575
"GSM1116123",8.65889773634102,8.48219083870968,1.90262924792779
"GSM1116124",8.6588977629794,8.48219083870968,1.90262927897449
"GSM1116125",8.65889775342034,8.48219083870968,1.90262926975787
"GSM1116126",8.65889773292861,8.48219083870968,1.9026292466861
"GSM1116127",8.65889777601567,8.48219083870968,1.90262930374015
"GSM1116128",8.65889774317015,8.48219083870968,1.90262925622472
"GSM1116129",8.65889776790364,8.48219083870968,1.90262930740615
"GSM1116130",8.65889776553655,8.48219083870968,1.90262927422258
"GSM1116131",8.6588977673853,8.48227462903226,1.90262927884359
"GSM1116132",8.65889773847053,8.48219083870968,1.90262924535668
"GSM1116133",8.65889777230522,8.48219083870968,1.90262928163612
"GSM1116134",8.65889774119614,8.48219083870968,1.90262926399413
"GSM1116135",8.65889773000862,8.48219083870968,1.90262924279355
"GSM1116136",8.65889776268136,8.48219083870968,1.90262927558491
"GSM1116137",8.65889776731187,8.48219083870968,1.90262928195275
"GSM1116138",8.65889777387752,8.48219083870968,1.90262928003968
"GSM1116139",8.65889775989528,8.48219083870968,1.90262926715492
"GSM1116140",8.65889774568411,8.48219083870968,1.90262925516633
"GSM1116141",8.6588977223847,8.48219083870968,1.90262921341704
"GSM1116142",8.65889775334691,8.48219083870968,1.90262927037113
"GSM1116143",8.65889779359174,8.48219083870968,1.90262931683256
"GSM1116144",8.65889773860012,8.48219083870968,1.9026292527026
"GSM1116145",8.65889777602431,8.48219083870968,1.90262929377396
"GSM1116146",8.65889775932078,8.48219083870968,1.90262927166122
"GSM1116147",8.65889775323892,8.48219083870968,1.902629278685
"GSM1116148",8.65889775163206,8.48219083870968,1.90262926645226
"GSM1116149",8.65889773564558,8.48219083870968,1.90262925097327
"GSM1116150",8.65889777830933,8.48219083870968,1.90262926267598
"GSM1116151",8.65889775530364,8.48219083870968,1.90262926514869
"GSM1116152",8.65889776899648,8.48219083870968,1.90262927552331
"GSM1116153",8.65889776251722,8.48219083870968,1.90262927627217
"GSM1116154",8.65889775966634,8.48219083870968,1.90262927442736
"GSM1116155",8.65889777230954,8.48219083870968,1.90262928552985
"GSM1116156",8.65889771858785,8.48219083870968,1.90262923772269
"GSM1116157",8.65889776929884,8.48219083870968,1.90262928757356
"GSM1116158",8.65889776703974,8.48219083870968,1.90262928815478
"GSM1116159",8.65889773908822,8.48219083870968,1.90262925087908
"GSM1116160",8.65889777652969,8.48219083870968,1.90262928082621
"GSM1116161",8.65889774145963,8.48219083870968,1.90262925833908
"GSM1116162",8.65889772659189,8.48219083870968,1.90262924239265
"GSM1116163",8.65889773993485,8.48219083870968,1.90262924864785
"GSM1116164",8.65889775859079,8.48219083870968,1.90262927404566
"GSM1116165",8.65889772031133,8.48219083870968,1.90262923023175
"GSM1116166",8.65889775801629,8.48219083870968,1.90262926940271
"GSM1116167",8.65889777029233,8.48227462903226,1.90262927390075
"GSM1116168",8.65889778782952,8.48219083870968,1.90262931035135
"GSM1116169",8.65889776115225,8.48219083870968,1.90262927173999
"GSM1116170",8.65889775316117,8.48219083870968,1.90262926804652
"GSM1116171",8.65889777795513,8.48219083870968,1.90262929228843
"GSM1116172",8.65889775154568,8.48219083870968,1.90262927794611
"GSM1116173",8.65889775948061,8.48219083870968,1.90262927565442
"GSM1116174",8.65889774523056,8.48219083870968,1.90262925580561
"GSM1116175",8.6588978038376,8.48219083870968,1.90262933480472
"GSM1116176",8.65889776083693,8.48219083870968,1.90262926468627
"GSM1116177",8.6588977466344,8.48219083870968,1.90262926067399
"GSM1116178",8.65889776657755,8.48219083870968,1.90262927960993
"GSM1116179",8.65889774948959,8.48219083870968,1.90262926128787
"GSM1116180",8.6588977719467,8.48219083870968,1.90262928661759
