"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-7.97432274762232,12.3071216008325,-25.9475333010173,1.2432223456362e-58,1.85687689544222e-54,122.911582863387,"211990_at"
-2.6819326305847,10.1342906418314,-23.824593817204,5.48484417414351e-54,3.70618840813588e-50,112.350111293613,"207365_x_at"
-7.26375160306566,10.9511389744017,-23.7655248791336,7.44413847375981e-54,3.70618840813588e-50,112.048165734398,"217757_at"
-2.87466775940452,12.1555217567118,-23.4395081741896,4.04879294157471e-53,1.511819284384e-49,110.373664501611,"232266_x_at"
-5.88473986410432,11.294885973153,-23.069257696025,2.81577826365207e-52,8.41129282918145e-49,108.455513723563,"201721_s_at"
-2.70366708938785,10.0512180389178,-22.4005803271439,9.7642966054746e-51,2.43065890165614e-47,104.946736461086,"233595_at"
-6.77948684070334,13.3753820707596,-21.9457013796274,1.12523149090378e-49,2.40092250687698e-46,102.526906043799,"1556499_s_at"
-2.39864236013335,11.7992383359001,-21.9166023700299,1.31685865187291e-49,2.45857510304672e-46,102.371198121781,"215978_x_at"
-1.76166017763179,9.58362034131113,-21.8723382484413,1.67308871779596e-49,2.77658367655561e-46,102.13413237768,"208082_x_at"
-2.53145896949047,11.2924650095734,-21.4573025663407,1.59844206211296e-48,2.38743306397192e-45,99.8990064273621,"216187_x_at"
-5.36928770804328,12.323119403538,-21.38856160616,2.32783707799022e-48,3.16077950880563e-45,99.5266616368136,"208306_x_at"
-6.51076285599895,12.4824494505723,-21.2523057957854,4.91267526932119e-48,6.11464315188178e-45,98.78680962366,"209312_x_at"
-8.52862417027813,13.3128302360042,-21.1477356055346,8.72859699511725e-48,1.00284865168516e-44,98.2173808714077,"210809_s_at"
-8.61535307974638,13.5036837186264,-20.9441080643615,2.68384247657536e-47,2.86327651643783e-44,97.1044948239157,"202403_s_at"
-3.02763033042455,8.99738664620187,-20.9164529982406,3.12739705145396e-47,3.11405349070108e-44,96.9529392289761,"222371_at"
-2.77690914570056,9.24132335650364,-20.8596095799752,4.28399919828352e-47,3.99911325159767e-44,96.6411159108449,"235847_at"
-2.23616142724777,11.0538239596254,-20.7835350304053,6.5317429113257e-47,5.73871247785651e-44,96.2231462133827,"215179_x_at"
-2.49221515125666,10.9935439716962,-20.7699060726823,7.04497823896164e-47,5.84576638761839e-44,96.1481871499135,"208246_x_at"
-2.83377557685394,11.3529011560874,-20.6501723805485,1.37061804045985e-46,1.07745005538465e-43,95.4886266742367,"217679_x_at"
-2.00891455904174,10.7683325159209,-20.5560189931826,2.31607504816899e-46,1.7296448459726e-43,94.9686827858187,"215529_x_at"
-8.59533184841652,13.3688334418314,-20.4622872774886,3.90885052444309e-46,2.78012340157534e-43,94.4499371624542,"202404_s_at"
-5.83915319518253,11.1281107729448,-20.4367607611326,4.50851035962215e-46,3.06086866960529e-43,94.3084688625141,"201137_s_at"
-3.33231199506487,9.5138950591051,-20.4028567142412,5.45022567597506e-46,3.53932916071146e-43,94.1204430548898,"230332_at"
-6.09171990401019,10.3864214472425,-20.3836466837169,6.06903422179682e-46,3.77696229736489e-43,94.0138422864881,"202283_at"
-8.06034913099323,14.3786432878252,-20.3682191185704,6.61672343179701e-46,3.9530952470928e-43,93.9281970475946,"215076_s_at"
-2.48180714723666,11.332344676795,-20.3286464654182,8.25946772536497e-46,4.74474653638658e-43,93.7083724199158,"214715_x_at"
-6.46098391041606,11.6204238659729,-20.2098455327273,1.60913729882029e-45,8.90150914636293e-43,93.0472343104092,"211991_s_at"
-2.39076918348204,10.8710676443288,-20.1913632739411,1.78534642325417e-45,9.52354792061581e-43,92.9442167225604,"231825_x_at"
-6.18521707791613,12.2568712266389,-19.8722804135379,1.08086027379901e-44,5.56680312050416e-42,91.1588290746539,"215193_x_at"
-5.58864798009608,9.66239048511967,-19.8531663970739,1.20445731767954e-44,5.96045274284602e-42,91.0514680833695,"225353_s_at"
-2.35216936382652,10.2915373798127,-19.8484461346487,1.23710521577549e-44,5.96045274284602e-42,91.0249478370247,"215600_x_at"
-2.501053347387,10.1559797086368,-19.8271108575269,1.39611659812778e-44,6.51637422176139e-42,90.9050428181766,"237475_x_at"
-3.41191193404582,11.1253201879292,-19.6881326716786,3.0733060387085e-44,1.39099693921667e-41,90.1225698065289,"242121_at"
-4.68632860505932,12.9988014176899,-19.601914761933,5.02017907618152e-44,2.20533513770139e-41,89.635920101779,"225239_at"
-6.04453725116841,12.2566536976067,-19.58539010092,5.51582470859921e-44,2.3538387956468e-41,89.5425409894295,"209619_at"
-2.34198443141485,11.2481114274714,-19.4791759708413,1.01109757984758e-43,4.19493151461209e-41,88.9415156411895,"206792_x_at"
-5.59776329022453,10.082681103642,-19.4544606323518,1.16444933703703e-43,4.70059872918517e-41,88.8014575512512,"200986_at"
-1.98559526299964,10.2895477369407,-19.3349212185954,2.30781485551179e-43,9.07092702155898e-41,88.1229645209594,"233702_x_at"
-2.07673080409844,11.2788682568158,-19.2828564676223,3.11050535007159e-43,1.19124379252998e-40,87.8268914295697,"234981_x_at"
-2.00504763159787,11.0731177902185,-19.2517987529825,3.7172917924551e-43,1.38803675530273e-40,87.6501164264662,"205370_x_at"
-7.07822276494427,13.1139098193548,-19.1409982077369,7.02681603172337e-43,2.55981766462976e-40,87.0184799991942,"201744_s_at"
-5.01478452508416,9.69501495046826,-19.1194326680284,7.95530325817048e-43,2.82905736819129e-40,86.8953646181839,"204122_at"
-5.8482738365526,12.1537422457856,-19.1015521377034,8.81787059513416e-43,3.06287709788195e-40,86.793242776104,"204670_x_at"
-1.93687625095598,10.7552479144641,-18.8452138426676,3.87386516418106e-42,1.31500113845928e-39,85.3248586959627,"220071_x_at"
-6.57428770627839,12.1011251991675,-18.7676919128024,6.07035630125689e-42,1.95625444030976e-39,84.8791957491283,"210982_s_at"
